WEEK,MONTH,YOPLAIT UNITS,YOPLAIT PRICE,DANNON PRICE,CHOBANI PRICE
160,Jan,2166259,0.75,1.07,0
161,Jan,1623945,0.86,1.20,0
162,Feb,1723346,0.85,1.17,0
163,Feb,1639552,0.84,1.01,0
164,Feb,1845047,0.81,1.12,0
165,Feb,1651744,0.87,1.18,0
166,Mar,1731746,0.88,0.99,0
167,Mar,1623291,0.93,1.10,0
168,Mar,1635938,0.90,1.21,0
169,Mar,1473669,0.92,1.11,0
170,Apr,1850269,0.82,1.23,0
171,Apr,1671538,0.88,1.22,0
172,Apr,1472745,0.89,1.19,0
173,Apr,1800256,0.85,1.15,0
174,Apr,1706678,0.86,1.09,0
175,May,1821271,0.84,1.08,0
176,May,2289598,0.75,1.25,0
177,May,1876011,0.81,1.32,0
178,May,1557242,0.86,1.15,0
179,Jun,1791431,0.82,1.27,0
180,Jun,1843010,0.82,1.27,0
181,Jun,1614620,0.89,1.01,0
182,Jun,1523991,0.86,1.16,0
183,Jul,1476475,0.90,1.27,0
184,Jul,1408527,0.91,1.17,0
185,Jul,1457104,0.94,1.14,0
186,Jul,1666778,0.85,1.19,0
187,Jul,1862586,0.78,1.21,0
188,Aug,1585148,0.86,1.11,0
189,Aug,1516616,0.90,1.09,0
190,Aug,1568943,0.88,1.25,0
191,Aug,1800565,0.80,1.23,0
192,Sep,1634956,0.86,1.24,0
193,Sep,1850060,0.82,1.21,0
194,Sep,2022611,0.80,1.27,0
195,Sep,1715082,0.85,1.21,0
196,Sep,1603674,0.88,1.19,0
197,Oct,1633830,0.85,1.09,0
198,Oct,1947528,0.78,1.18,0
199,Oct,1648872,0.83,1.14,0
200,Oct,1559630,0.85,1.08,0
201,Nov,1427168,0.85,1.19,0
202,Nov,1471620,0.84,1.14,0
203,Nov,1493981,0.82,1.25,0
204,Nov,1195158,0.84,1.26,0
205,Dec,1705121,0.77,1.24,0
206,Dec,1477669,0.84,1.29,0
207,Dec,1388039,0.81,1.07,0
208,Dec,1003376,0.87,1.31,0
209,Dec,1229311,0.88,1.16,0
210,Jan,1854949,0.82,0.92,0
211,Jan,1968925,0.80,1.03,0
212,Jan,2359591,0.75,1.13,0
213,Jan,1940308,0.81,1.13,0
214,Feb,2059388,0.81,0.99,0
215,Feb,1828339,0.83,1.10,0
216,Feb,1799595,0.82,1.16,0
217,Feb,1715337,0.84,1.10,0
218,Mar,2070177,0.80,1.14,0
219,Mar,1927091,0.80,1.27,0
220,Mar,2412994,0.73,1.28,0
221,Mar,1767063,0.82,1.21,0
222,Mar,1671889,0.82,1.10,0
223,Apr,1908691,0.82,1.17,0
224,Apr,1953247,0.80,1.29,0
225,Apr,2051577,0.80,1.17,0
226,Apr,2266488,0.76,1.31,0
227,May,2175310,0.77,1.21,0
228,May,1996760,0.80,1.20,0
229,May,1920154,0.82,1.24,0
230,May,1895724,0.79,1.16,0
231,Jun,2233446,0.73,1.26,0
232,Jun,1966270,0.78,1.07,0
233,Jun,1919234,0.80,1.35,0
234,Jun,1788665,0.82,1.14,0
235,Jun,1705737,0.83,1.36,0
236,Jul,1488371,0.89,1.09,0
237,Jul,1806676,0.82,1.13,0
238,Jul,1770811,0.84,1.22,0
239,Jul,1936546,0.80,1.29,0
240,Aug,1867846,0.84,1.14,0
241,Aug,1880881,0.83,1.16,0
242,Aug,1807466,0.86,1.34,0
243,Aug,1851663,0.83,1.32,0
244,Sep,1981445,0.83,1.33,0
245,Sep,1898932,0.84,1.18,0
246,Sep,2184992,0.80,1.21,0
247,Sep,2077685,0.79,1.29,0
248,Sep,2043847,0.81,1.29,0
249,Oct,2082042,0.82,1.26,0
250,Oct,2084396,0.79,1.25,0
251,Oct,1928528,0.81,1.28,0
252,Oct,1851939,0.80,1.28,0
253,Nov,1707549,0.83,1.21,0
254,Nov,1930820,0.80,1.31,0
255,Nov,1551074,0.86,1.39,0
256,Nov,1305301,0.85,1.34,0
257,Dec,1593340,0.85,1.07,0
258,Dec,1539986,0.87,1.17,0
259,Dec,1423180,0.84,1.35,0
260,Dec,1240631,0.86,1.38,0
261,Dec,1426017,0.80,1.22,0
262,Jan,2087083,0.78,0.92,0
263,Jan,2060021,0.81,1.04,0
264,Jan,2530697,0.73,1.17,0
265,Jan,2080636,0.81,1.16,0
266,Feb,2275400,0.79,1.21,0
267,Feb,2000449,0.85,1.08,0
268,Feb,1977045,0.82,1.13,0
269,Feb,2044923,0.81,1.31,0
270,Mar,2575053,0.75,1.21,0
271,Mar,2251978,0.80,1.12,0
272,Mar,2551926,0.74,1.22,0
273,Mar,2569858,0.72,1.31,0
274,Mar,2117637,0.83,1.39,0
275,Apr,2105880,0.84,1.17,0
276,Apr,2082701,0.81,1.34,0
277,Apr,2365086,0.73,1.28,0
278,Apr,2229566,0.80,1.38,0
279,May,2291703,0.79,1.14,0
280,May,2679317,0.72,1.29,0
281,May,2067158,0.81,1.25,0
282,May,1914457,0.85,1.35,0
283,Jun,2646429,0.72,1.32,0
284,Jun,2310047,0.78,1.20,0
285,Jun,2147454,0.80,1.19,0
286,Jun,2258306,0.76,1.24,0
287,Jun,2132082,0.76,1.23,0
288,Jul,1857743,0.83,1.18,0
289,Jul,1967181,0.83,1.21,0
290,Jul,1856571,0.86,1.12,0
291,Jul,1979548,0.83,1.28,0
292,Aug,2272633,0.78,1.31,0
293,Aug,2069608,0.82,1.25,0
294,Aug,2145557,0.80,1.34,0
295,Aug,2056273,0.80,1.23,0
296,Aug,2064921,0.82,1.36,0
297,Sep,2202806,0.81,1.27,0
298,Sep,2166416,0.80,1.33,0
299,Sep,2311573,0.77,1.20,0
300,Sep,2130683,0.79,1.40,0
301,Oct,2705989,0.72,1.30,0
302,Oct,2308184,0.77,1.24,0
303,Oct,2046079,0.80,1.29,0
304,Oct,1980437,0.80,1.01,0
305,Nov,2260115,0.74,1.29,0
306,Nov,1874664,0.83,1.22,0
307,Nov,1724282,0.85,1.19,0
308,Nov,1435336,0.85,1.43,0
309,Nov,1879049,0.82,1.34,0
310,Dec,1775040,0.85,1.11,0
311,Dec,1637436,0.86,1.20,0
312,Dec,1400033,0.88,1.39,0
313,Dec,1455537,0.81,1.40,0
314,Jan,2399415,0.75,1.23,0
315,Jan,2812702,0.72,1.06,0
316,Jan,2281702,0.80,1.11,0
317,Jan,2202189,0.81,1.12,0
318,Feb,2256551,0.81,1.35,0
319,Feb,2403412,0.79,1.27,0
320,Feb,2556965,0.74,1.29,0
321,Feb,2154333,0.81,1.33,0
322,Mar,2280985,0.80,1.13,0
323,Mar,2447839,0.77,1.18,0
324,Mar,2702623,0.72,1.42,0
325,Mar,2392854,0.76,1.34,0
326,Mar,2010947,0.82,1.15,0
327,Apr,2072191,0.83,1.33,0
328,Apr,1860287,0.84,1.20,0
329,Apr,2308603,0.75,1.17,0
330,Apr,2085048,0.81,1.14,0
331,May,2328731,0.77,1.17,0
332,May,2594268,0.73,1.24,0
333,May,2053628,0.80,1.18,0
334,May,2028639,0.79,1.28,0
335,May,2180713,0.77,1.19,0
336,Jun,2346057,0.74,1.15,0
337,Jun,2223429,0.76,1.23,0
338,Jun,2076794,0.76,1.22,0
339,Jun,1869966,0.82,1.28,0
340,Jul,1790525,0.83,1.26,0
341,Jul,2035924,0.81,1.41,0
342,Jul,1884044,0.81,1.20,0
343,Jul,2308044,0.72,1.45,0
344,Aug,2038505,0.81,1.38,0
345,Aug,1979502,0.84,1.19,0
346,Aug,2241296,0.79,1.31,0
347,Aug,2392656,0.77,1.47,0
348,Aug,1971806,0.87,1.46,0
349,Sep,2201017,0.86,1.23,0
350,Sep,2187952,0.86,1.34,0
351,Sep,2323594,0.81,1.42,0
352,Sep,2482849,0.77,1.40,0
353,Oct,2543017,0.79,1.34,0
354,Oct,2479046,0.79,1.42,0
355,Oct,2286465,0.81,1.31,0
356,Oct,2043922,0.84,1.39,1.59
357,Nov,2124336,0.83,1.34,1.81
358,Nov,1920303,0.87,1.38,1.87
359,Nov,1792904,0.90,1.37,1.77
360,Nov,1504751,0.90,1.49,1.91
361,Nov,2170956,0.81,1.36,1.77
362,Dec,1882789,0.88,1.40,1.60
363,Dec,2031723,0.83,1.43,1.66
364,Dec,1497527,0.88,1.50,1.73
365,Dec,1329942,0.87,1.51,1.71
366,Jan,2885652,0.68,1.25,1.71
367,Jan,3297557,0.67,1.04,1.78
368,Jan,2682321,0.80,1.19,1.79
369,Jan,2214002,0.85,1.33,1.78
370,Jan,2463497,0.82,1.37,1.78
371,Feb,2530724,0.84,1.25,1.37
372,Feb,2584175,0.81,1.40,1.70
373,Feb,2437308,0.84,1.32,1.70
374,Feb,2603196,0.83,1.45,1.64
375,Mar,2402458,0.89,1.24,1.67
376,Mar,2927317,0.74,1.42,1.19
377,Mar,2465764,0.83,1.49,1.59
378,Mar,2094173,0.88,1.54,1.22
379,Apr,2309544,0.90,1.38,1.76
380,Apr,2230684,0.91,1.18,1.69
381,Apr,2473041,0.86,1.57,1.69
382,Apr,2841959,0.80,1.46,1.74
383,May,2788426,0.80,1.49,1.49
384,May,2571108,0.84,1.40,1.64
385,May,2548138,0.82,1.44,1.71
386,May,2105576,0.91,1.44,1.68
387,May,2122313,0.88,1.47,1.72
388,Jun,2155808,0.92,1.41,1.64
389,Jun,2308968,0.88,1.34,1.75
390,Jun,2653064,0.80,1.55,1.77
391,Jun,2164843,0.87,1.50,1.37
392,Jul,2175533,0.88,1.43,1.76
393,Jul,1998582,0.93,1.50,1.71
394,Jul,2228517,0.89,1.33,1.63
395,Jul,2432853,0.85,1.54,1.45
396,Jul,2168950,0.90,1.55,1.26
397,Aug,2267827,0.90,1.34,1.60
398,Aug,2259444,0.89,1.53,1.58
399,Aug,2206711,0.89,1.37,1.16
400,Aug,2461455,0.84,1.52,1.57
401,Sep,2331298,0.91,1.50,1.33
402,Sep,2297472,0.91,1.39,1.22
403,Sep,2386839,0.88,1.46,1.39
404,Sep,2286714,0.89,1.32,1.51
405,Oct,2858525,0.80,1.55,1.46
406,Oct,2985911,0.77,1.47,1.42
407,Oct,2384145,0.83,1.52,1.49
408,Oct,2035568,0.89,1.53,1.28
409,Oct,2186582,0.86,1.26,1.46
410,Nov,2324117,0.86,1.34,1.48
411,Nov,2011836,0.91,1.52,1.47
412,Nov,1863352,0.92,1.51,1.51
413,Nov,1488556,0.95,1.56,1.49
414,Dec,2125675,0.85,1.50,1.42
415,Dec,1814733,0.91,1.20,1.26
416,Dec,1731195,0.90,1.51,1.39
417,Dec,1143795,0.96,1.65,1.52
418,Jan,2237572,0.79,1.20,1.51
419,Jan,3109940,0.77,0.92,1.24
420,Jan,2569127,0.81,1.19,1.15
421,Jan,2704836,0.80,1.29,1.22
422,Jan,2559693,0.82,1.26,1.13
423,Feb,2449713,0.88,1.12,1.19
424,Feb,2598255,0.86,1.26,1.20
425,Feb,2373610,0.87,1.14,1.23
426,Feb,2710049,0.83,1.37,1.21
427,Mar,2724215,0.81,1.38,1.19
428,Mar,2516933,0.84,1.39,1.22
429,Mar,2236694,0.86,0.98,1.47
430,Mar,2542956,0.83,1.41,1.38
431,Apr,2794692,0.78,1.39,1.43
432,Apr,2187829,0.89,1.23,1.43
433,Apr,2070130,0.87,1.39,1.48
434,Apr,2651032,0.81,1.32,1.41
435,Apr,2562485,0.82,1.46,1.33
436,May,2732784,0.80,1.06,1.19
437,May,2608208,0.80,1.44,1.37
438,May,2108628,0.87,1.41,1.40
439,May,2023145,0.87,1.25,1.42
440,Jun,2570728,0.80,1.36,1.38
441,Jun,2590440,0.80,1.42,1.30
442,Jun,2155708,0.85,1.11,1.39
443,Jun,2259793,0.83,1.16,1.43
